"","comic.name","comic.summary","comic.grade"
"266","니나 내나","귀욤뽀작 일상툰","9.85"
"267","귀여움이 죄라면 너는 사형!","귀여우면 유죄입니다","9.88"
"268","도원향","우주경찰서 도원향","9.89"
"269","누루누루 음식만화","음식 탐닉 일상툰","9.92"
"270","교수도 사람이다","교수도 사람입니다","9.78"
"271","숲의 향연","인격이 있는 숲.","9.73"
"272","분신캐리","분신이캐리했다","9.74"
"273","이 세계 마왕님","인간소녀와 괴물마왕","9.84"
"274","황녀의 기사","판타지 드라마","9.89"
"275","잠깐만! 아이돌 좀 하고 갈게","아이돌 판타지","9.76"
"276","러시아-워!","해외창업개그만화","9.91"
"277","깜빡깜빡","반짝이의 일상","9.92"
"278","곰팡남녀","보통의 경계","9.90"
"279","모두의 미아씨","미아씨의 매일매일","9.45"
"280","참을 수 없군","너,화장실로 올래?","8.88"
"281","사람 사람 사람","원트와 사람들","9.63"
"282","저승길잡이","이승과 저승의 경계","9.90"
"283","왕과 그림자와 여자","되풀이되는 관계","9.76"
"284","귀신사양복점인턴생","현대로맨스판타지","9.30"
"285","남사친의 정의","너희 둘 사귀어?","9.75"
"286","존버닥터","섬탈출까지 존버해라","9.75"
"287","렌시","포션사의 이야기","9.93"
"288","허무의 기록","옴니버스 단편선","9.89"
"289","채똘일기","채똘일기","9.61"
"290","너랑 대화 하고싶어!","엉망진창 로맨스","9.55"
"291","대학교 수감기록","이젠 대학교에 수감","9.76"
"292","오늘도 분홍했분홍","일상툰","9.84"
"293","아마도","미스터리 스릴러","9.57"
"294","초능력의 도시","초능력 판타지","9.68"
"295","헨젤과 마녀 그레텔","마녀를 조심해","9.66"
"296","엔피씨(NPC)","NPC가 된 용사","9.42"
"297","월국의 프락세이스","소년과 세계,스피릿","9.63"
"298","어쩌다 햄스터","초보집사와 초보주인","9.74"
"299","김네몽로그","그 김네몽 맞아요!","9.71"
"300","메모리얼","기억을 찾아서","9.72"
"301","월혼","여우인간의 생존사투","9.75"
"302","마이툰","두딸키우는 아재일상","9.67"
"303","30일의 시간여행","완결★★★★★","9.55"
"304","내 어깨 위에 공룡","소녀와 공룡 귀신","9.80"
"305","띵동! 도토리에요","너튜브하는 마법사","9.76"
"306","엘카림이 들어줄게!","SF+판타지 액션.","9.79"
"307","격리구역","기숙사에서 살아남기","9.56"
"308","그리마 콘텐츠","돈벌레 인간 방송","8.63"
"309","호구 도사","동양 판타지","9.77"
"310","대학원 탈출일지","대학원에서 살아남기","9.92"
"311","잘먹는 가","본격 음식예찬툰!","9.82"
"312","악괴를 잡아 너를 지키겠습니다.","여주판 액션 로맨스","9.49"
"313","계단","병이 낫는 계단","9.60"
"314","평양냉면 완전정복","평양냉면 식도락","8.60"
"315","라이즈(RISE)","너의 마력은 루시퍼","9.73"
"316","떴다! 자취생","토깽이의 인생일기","9.44"
"317","1717","17년이 지났다.","9.77"
"318","아오링도쿄","도쿄 시트콤","9.91"
"319","새벽녘 그늘에 피어난","어우러지는","9.68"
"320","간보는 연애","첫사랑 할수있을까?","8.86"
"321","원룸202호","추리 스릴러","8.66"
"322","냠냠일기","오늘은 뭐 먹지","9.89"
"323","실험학교","변형자들의 학교","9.90"
"324","게임이 쳐들어왔다.","게임 속 액션판타지","9.34"
"325","바람따라 물따라","역사인물만화","9.74"
"326","랭커앤랭커","초능력학원물","9.80"
"327","빅타이거","가장 큰 호랑이","9.52"
"328","일찍 자고 일찍 일어나기","아침형 뱀파이어","9.91"
"329","조선 왕실의 신화","유교 신화 이야기","9.79"
"330","우리는 예상치 못하게","그럴 때가 있잖아요","9.89"
"331","정의를 위한 나라","소년모험판타지","9.54"
"332","리드래프트","야구에 만약이있다면","9.83"
"333","숲속의 성","자유연재","9.88"
"334","[GL] 유빈이는 기여운데","본격 여고 로맨스","9.63"
"335","비밀의 정원","오컬트 성장 드라마","9.39"
"336","DJ 카일하우스","세계가 우리 무대!","9.84"
"337","특이점 2045","A.I.로봇VS인간","9.87"
"338","왕과 나","세자는 여인이다.","9.75"
"339","에스테리아","작은 별의 주인","9.81"
"340","나의 카이생활","카이스트 일상툰","9.78"
"341","생산직 툰","생산직 4컷 만화","9.78"
"342","좀비 플래너","좀비 플래너","9.82"
"343","정크이터","쓰레기를 먹어라!","9.74"
"344","절대신의 유희","사후세계 판타지","9.85"
"345","새벽인력","꿈꾸는 일용직","9.77"
"346","런어웨이","초능력자들의 이야기","9.80"
"347","초시공아기!!","기상천외 대행진!!","9.55"
"348","헬스하는 용사님!","헬스하는 용사님","8.97"
"349","미치광이 맥","심부름꾼의 이야기","9.77"
"350","예청","조선 여군 '예청'","9.62"
"351","종이를 주웠다","종이의 성장과 사랑","9.65"
"352","점심을 위하여","대학 점심을 위하여","9.71"
"353","벌레 이야기","킬러와 그녀","9.75"
"354","클로버 신드롬","능력자 학교 이야기","9.60"
"355","천상대전","천상대전","9.87"
"356","옆집에 그녀가 산다","옆집의 특별한그녀!","9.63"
"357","저주라는이름의축복","← 키안 (♂)","9.86"
"358","우당탕탕 휘삐 생존기","n잡러 한국어 선생","9.88"
"359","다람쥐 란란","마이웨이 일상","9.88"
"360","반오십부터 그림일기","평범한 으른일기","9.85"
"361","꽃샘바람","동화의 사랑 이야기","9.54"
"362","돈벌다 만난사이","돈벌다 만난 덕후들","9.79"
"363","광고감독의 발암일기","광고감독의 웃픈일상","9.65"
"364","미친 꽃은 답도 없다","로판 / 자유연재","9.67"
"365","시카 단편선","여러가지 단편들","9.92"
"366","솔의 일기","흔하면서도흔하지않은","9.79"
"367","렌즈빨 홍석순","혹시 내 눈 예뻐?","9.53"
"368","분노의 난임일기","난임 정복 웹툰!","9.78"
"369","드래곤메이커","용키우는만화","9.89"
"370","헤이쟝","고양이 쟝의 일상","9.77"
"371","악마인간","왕따 히어로 액션","8.97"
"372","엑스트라A","신에게 복수한다","9.58"
"373","지새는 밤","잔잔 엉뚱","9.79"
"374","시크릿 하숙집","일상 판타지 시트콤","9.69"
"375","외계에서 온 지구인","외계에서 온 지구인","9.83"
"376","부서진 평시","연쇄살인의 내막","9.72"
"377","매지컬팡","명랑만화 매지컬팡","9.85"
"378","여우말고 알바생?!","연지와 불청객","9.74"
"379","디나운스","패션, 드라마","9.75"
"380","저승파견고용직","기묘한 러브액션로망","9.90"
"381","시간과 사연","사남매 이야기","9.80"
"382","너는 나의 나는 너의 수호천사","로맨스판타지","9.88"
"383","충견","괴물과 싸우는 괴물","9.15"
"384","흑묘","검은 고양이 사냥꾼","9.71"
"385","나의 별에게","감성로맨스","9.88"
"386","더 리턴","왜 우린 달라?","9.68"
"387","인형의 꿈","작은 소망이야기.","9.82"
"388","이런 소설 같은 사랑!","안사랑? 유사랑!","9.78"
"389","누들트럭","스트릿푸드 생존기","9.30"
"390","로그 아일","판타지 생존기","9.74"
"391","나는 엄마다","괴물엄마와 인간 딸","9.80"
"392","드림걸즈","그녀들의 농구이야기","8.61"
"393","까만 동화 : 인형의 집","잔혹동화","9.86"
"394","너의 뒤에서","사랑따위...","9.65"
"395","하얀 하늘 꽃구름","비밀스러운 동아리","9.89"
"396","분신사가","분신들과의 동거!","8.76"
"397","액터즈 나이트","약자들의 생존전략","8.90"
"398","어둠의 창 번외편-토아 이야기","토아의 성장기","9.56"
"399","77년생, 열아홉","멈춘 시간","9.48"
"400","안녕,호두","소소한 일상툰!","9.88"
"401","발버둥치다","우울증 이야기","9.89"
"402","가위바위보","지면 죽는다.","9.62"
"403","피카부!","요괴 학원물","9.36"
"404","곰의 딸","소녀의 모험","9.52"
"405","직장인 다이어리","40대 가장의 일상","9.36"
"406","좋아하는거 참으면 병나요!","좋아하는건 못참아","9.73"
"407","없는자들","없어진 부x을 찾아","9.53"
"408","아라군주","범고래 판타지 액션","9.59"
"409","크림슨 크로스","희망의 가치.","9.78"
"410","아스테리스크","용과 소년소녀","9.89"
"411","채팅게임","극복과. 성장","8.41"
"412","질주","초능력 판타지","9.80"
"413","송양 게스트하우스","송양","9.77"
"414","금잔화가 피는 여름","동양 판타지","9.14"
"415","순임이","엄마의 엄마 이야기","9.89"
"416","호랑이비","너도 나와 같길","9.44"
"417","라텔론","멜로 액션 판타지","9.11"
"418","디플로마티코","스페이스 오페라","9.75"
"419","겨울이 사라진 계절","겨울 없는 세상에서","8.27"
"420","물고기로 살아남기!","신개념 게임 판타지","9.61"
"421","주파수","힐링 로맨스 판타지","9.39"
"422","시크릿가족","성교육웹툰","9.87"
"423","소소한 일상기록툰","소소한 일상의 기록","9.92"
"424","중딩툰","중딩이 그렸던 웹툰","9.50"
"425","LADS'PARTY","판타지 액션","9.58"
"426","휴지통","잔부스러기같은 행복","9.88"
"427","마녀의 키스","마녀와 소년 이야기","9.46"
"428","올어바웃 You","귀염뽀짝 국제육아툰","9.86"
"429","내 매력에 퐁당","내 매력에 퐁당!","9.57"
